timestamp,domain,dns_server,query_time_ms,total_queries,final_answer,trace_hops,error,status,dns_name,sample_num
2026-04-10T11:04:41.678724,qt-google-cloud-cdn.bronze.systems,1.1.1.1,22,1,,[22],,good,Cloudflare DNS,3
2026-04-10T11:05:11.737759,qt-google-cloud-cdn.bronze.systems,1.1.1.1,26,1,,[26],,good,Cloudflare DNS,4
2026-04-10T11:05:41.783529,qt-google-cloud-cdn.bronze.systems,1.1.1.1,28,1,,[28],,good,Cloudflare DNS,5
2026-04-10T11:06:11.838504,qt-google-cloud-cdn.bronze.systems,1.1.1.1,22,1,,[22],,good,Cloudflare DNS,6
2026-04-10T11:06:41.889522,qt-google-cloud-cdn.bronze.systems,1.1.1.1,23,1,,[23],,good,Cloudflare DNS,7
2026-04-10T11:07:11.936457,qt-google-cloud-cdn.bronze.systems,1.1.1.1,22,1,,[22],,good,Cloudflare DNS,8
2026-04-10T11:07:42.007263,qt-google-cloud-cdn.bronze.systems,1.1.1.1,55,1,,[55],,good,Cloudflare DNS,9
2026-04-10T11:08:12.092855,qt-google-cloud-cdn.bronze.systems,1.1.1.1,22,1,,[22],,good,Cloudflare DNS,10
2026-04-10T11:08:42.153064,qt-google-cloud-cdn.bronze.systems,192.168.111.1,14,1,,[14],,good,ISP DNS 1,1
2026-04-10T11:09:12.199690,qt-google-cloud-cdn.bronze.systems,192.168.111.1,12,1,,[12],,good,ISP DNS 1,2
2026-04-10T11:09:42.236558,qt-google-cloud-cdn.bronze.systems,192.168.111.1,2,1,,[2],,good,ISP DNS 1,3
2026-04-10T11:10:12.253231,qt-google-cloud-cdn.bronze.systems,192.168.111.1,8,1,,[8],,good,ISP DNS 1,4
2026-04-10T11:10:42.302583,qt-google-cloud-cdn.bronze.systems,192.168.111.1,3,1,,[3],,good,ISP DNS 1,5
2026-04-10T11:11:12.335047,qt-google-cloud-cdn.bronze.systems,192.168.111.1,5,1,,[5],,good,ISP DNS 1,6
2026-04-10T11:11:42.368971,qt-google-cloud-cdn.bronze.systems,192.168.111.1,6,1,,[6],,good,ISP DNS 1,7
2026-04-10T11:12:12.406361,qt-google-cloud-cdn.bronze.systems,192.168.111.1,34,1,,[34],,good,ISP DNS 1,8
2026-04-10T11:12:42.463148,qt-google-cloud-cdn.bronze.systems,192.168.111.1,3,1,,[3],,good,ISP DNS 1,9
2026-04-10T11:13:12.495270,qt-google-cloud-cdn.bronze.systems,192.168.111.1,6,1,,[6],,good,ISP DNS 1,10
